padtile_x,padtile_y,iomux_z,padfeed_rmux,cfg_group,src_res,src_x,src_y,dy,codeword_sels,codeword_bytes,codeword_masks
17,13,3,8,CFG_RMUX1,RMUX32,17,11,2,,,
18,13,0,28,CFG_RMUX_ORACLE,RMUX69,18,9,4,CFG_RMUX1:2;3;25;28|CFG_RMUX2:2;4;25;28,"408,408,2613,2612,408,524,2612,2612","1,2,128,1,16,16,32,16"
18,13,3,20,CFG_RMUX3,RMUX39,18,12,1,,,
19,13,0,0,CFG_RMUX0,RMUX25,19,12,1,"0,3","409,409","64,16"
19,13,0,0,CFG_RMUX0,RMUX02,19,12,1,"1,4","525,525","64,32"
19,13,0,4,CFG_RMUX0,RMUX75,19,12,1,,,
19,13,0,8,CFG_RMUX1,RMUX55,19,12,1,,,
19,13,0,16,CFG_RMUX2,RMUX85,19,12,1,,,
19,13,0,24,CFG_RMUX4,RMUX19,19,12,1,,,
19,13,1,16,CFG_RMUX2,RMUX85,19,11,2,"26,27","2491,2492","1,128"
19,13,2,0,CFG_RMUX0,RMUX25,19,12,1,,,
19,13,3,12,CFG_RMUX2,RMUX09,19,12,1,,,
20,13,1,24,CFG_RMUX4,RMUX19,20,12,1,,,
20,13,2,28,CFG_RMUX5,RMUX69,20,12,1,,,
20,13,3,20,CFG_RMUX3,RMUX39,20,12,1,,,
